	id	model_type	name	readonly	readwrite	requirement
321	ho5ho6dUMP_c	Metabolite	5-hydroxy-6-hydroxy-2'-deoxyuridine monophosphate	-	x	x
322	ho5hydantoin_dRibose_c	Metabolite	2'-deoxy-3'-(5-hydroxyhydantoin)-ribose	-	x	x
323	ho5hydantoin_dRiboseMP_c	Metabolite	2'-deoxy-3'-(5-hydroxyhydantoin)-ribose monophosphate	-	x	x
324	HPHPYR_c	Metabolite	3-(4-Hydroxyphenyl)pyruvate	-	x	x
325	hydride_c	Metabolite	hydride	-	x	x
326	hydroxyl_radical_c	Metabolite	hydroxyl radical	-	x	x
327	HYXN_c	Metabolite	hypoxanthine	-	x	x
328	IDP_c	Metabolite	IDP	-	x	x
329	ILE_c	Metabolite	L-Isoleucine	-	x	x
330	IleIle_c	Metabolite	L-isoleucyl-L-isoleucine	-	x	x
331	IMP_c	Metabolite	IMP	-	x	x
332	INOS_c	Metabolite	myo-inositol	-	x	x
333	INS_c	Metabolite	inosine	-	x	x
334	ITP_c	Metabolite	ITP	-	x	x
335	K_c	Metabolite	potassium ion	-	x	x
336	k2C_c	Metabolite	lysidine	-	x	x
337	k2CMP_c	Metabolite	lysidine monophosphate	-	x	x
338	LAC_c	Metabolite	D-lactate	-	x	x
339	LEU_c	Metabolite	L-Leucine	-	x	x
340	LeuLeu_c	Metabolite	L-leucyl-L-leucine	-	x	x
341	LIPOATE_c	Metabolite	lipoate	-	x	x
342	LIPOYLAMP_c	Metabolite	lipoyl-AMP	-	x	x
343	LIPOYLLYS_c	Metabolite	N(6)-(lipoyl)lysine	-	x	x
344	lomefloxacin_c	Metabolite	Lomefloxacin	-	x	x
345	LYS_c	Metabolite	L-Lysine	-	x	x
346	LysLys_c	Metabolite	L-lysyl-L-lysine	-	x	x
347	m1dA_c	Metabolite	1-methyl-2'-deoxyadenosine	-	x	x
348	m1dAMP_c	Metabolite	1-methyl-2'-deoxyadenosine monophosphate	-	x	x
349	m1dG_c	Metabolite	1-methyl-2'-deoxyguanosine	-	x	x
350	m1dGMP_c	Metabolite	1-methyl-2'-deoxyguanosine monophosphate	-	x	x
351	m1G_c	Metabolite	1-methylguanosine	-	x	x
352	m1GMP_c	Metabolite	1-methylguanosine monophosphate	-	x	x
353	m2G_c	Metabolite	N(2)-methylguanosine	-	x	x
354	m2GMP_c	Metabolite	N(2)-methylguanosine monophosphate	-	x	x
355	m3dA_c	Metabolite	3-methyl-2'-deoxyadenosine	-	x	x
356	m3dAMP_c	Metabolite	3-methyl-2'-deoxyadenosine monophosphate	-	x	x
357	m3dC_c	Metabolite	3-methyl-2'-deoxycytidine	-	x	x
358	m3dCMP_c	Metabolite	3-methyl-2'-deoxycytidine monophosphate	-	x	x
359	m3dG_c	Metabolite	3-methyl-2'-deoxyguanosine	-	x	x
360	m3dGMP_c	Metabolite	3-methyl-2'-deoxyguanosine monophosphate	-	x	x
361	m3dT_c	Metabolite	3'-methyl-2'-deoxythymidine	-	x	x
362	m3dTMP_c	Metabolite	3'-methyl-2'-deoxythymidine monophosphate	-	x	x
363	m4dC_c	Metabolite	4-methyl-2'-deoxycytidine	-	x	x
364	m4dCMP_c	Metabolite	4-methyl-2'-deoxycytidine monophosphate	-	x	x
365	m5C_c	Metabolite	5-methylcytidine	-	x	x
366	m5CMP_c	Metabolite	5-methylcytidine monophosphate	-	x	x
367	m5dC_c	Metabolite	5-methyl-2'-deoxycytidine	-	x	x
368	m5dCMP_c	Metabolite	5-methyl-2'-deoxycytidine monophosphate	-	x	x
369	m62A_c	Metabolite	N6,N6-dimethyladenosine	-	x	x
370	m62AMP_c	Metabolite	N6,N6-dimethyladenosine monophosphate	-	x	x
371	m6A_c	Metabolite	N(6)-methyladenine	-	x	x
372	m6AMP_c	Metabolite	N(6)-methyladenine monophosphate	-	x	x
373	m6dA_c	Metabolite	6-methyl-2'-deoxyadenosine	-	x	x
374	m6dAMP_c	Metabolite	6-methyl-2'-deoxyadenosine monophosphate	-	x	x
375	m7dA_c	Metabolite	7-methyl-2'-deoxyadenosine	-	x	x
376	m7dAMP_c	Metabolite	7-methyl-2'-deoxyadenosine monophosphate	-	x	x
377	m7dG_c	Metabolite	7-methyl-2'-deoxyguanosine	-	x	x
378	m7dGMP_c	Metabolite	7-methyl-2'-deoxyguanosine monophosphate	-	x	x
379	m7G_c	Metabolite	7-methylguanosine	-	x	x
380	m7GMP_c	Metabolite	7-methylguanosine monophosphate	-	x	x
381	m8dG_c	Metabolite	8-methyl-2'-deoxyguanosine	-	x	x
382	m8dGMP_c	Metabolite	8-methyl-2'-deoxyguanosine monophosphate	-	x	x
383	MAL_c	Metabolite	L-Malate	-	x	x
384	MAN_c	Metabolite	D-Mannose	-	x	x
385	MAN1P_c	Metabolite	D-Mannose 1-phosphate	-	x	x
386	MAN6P_c	Metabolite	D-Mannose 6-phosphate	-	x	x
387	MET_c	Metabolite	L-Methionine	-	x	x
388	METHF_c	Metabolite	5,10-methyltetrahydrofolate	-	x	x
389	methylRed_c	Metabolite	4′-dimethylaminoazobenzene-2-carboxylic acid	-	x	x
390	METHYL_OCDCEA_c	Metabolite	methyl oleate	-	x	x
391	MetMet_c	Metabolite	L-methionyl-L-methionine	-	x	x
392	METSOXRL_c	Metabolite	L-Methionine-R-Sulfoxide	-	x	x
393	METSOXSL_c	Metabolite	L-Methionine-S-Sulfoxide	-	x	x
394	METTHF_c	Metabolite	5,10-Methylenetetrahydrofolate	-	x	x
395	MG_c	Metabolite	magnesium ion	-	x	x
396	MN_c	Metabolite	manganese ion	-	x	x
397	MO_c	Metabolite	molybdenum ion	-	x	x
398	MOBD_c	Metabolite	Molybdate	-	x	x
399	MONOBUTYRIN_c	Metabolite	1-monobutyrin	-	x	x
400	MOR_c	Metabolite	morpholine	-	x	x
401	MTHF_c	Metabolite	5-Methyltetrahydrofolate	-	x	x
402	n2dA_c	Metabolite	2-amino-2'-deoxyadenosine	-	x	x
403	n2dAMP_c	Metabolite	2-amino-2'-deoxyadenosine monophosphate	-	x	x
404	NA_c	Metabolite	sodium ion	-	x	x
405	NAAD_c	Metabolite	nicotinic acid adenine dinucleotide	-	x	x
406	NAC_c	Metabolite	nicotinate	-	x	x
407	NAD_c	Metabolite	nicotinamide adenine dinucleotide, oxidized	-	x	x
408	NADH_c	Metabolite	nicotinamide adenine dinucleotide, reduced	-	x	x
409	NADP_c	Metabolite	nicotinamide adenine dinucleotide phosphate, oxidized	-	x	x
410	NADPH_c	Metabolite	nicotinamide adenine dinucleotide phosphate, reduced	-	x	x
411	NAMN_c	Metabolite	nicotinate/nicotinic acid mononucleotide	-	x	x
412	NH3_c	Metabolite	ammonia	-	x	x
413	NH4_c	Metabolite	ammonium	-	x	x
414	NI_c	Metabolite	nickel	-	x	x
415	nisin_c	Metabolite	nisin	-	x	x
416	NMN_c	Metabolite	nicotinamide mononucleotide	-	x	x
417	norfloxacin_c	Metabolite	Norfloxacin	-	x	x
418	novobiocin_c	Metabolite	Novobiocin	-	x	x
419	NR_c	Metabolite	Nicotinate D-ribonucleotide	-	x	x
420	O2_c	Metabolite	oxygen	-	x	x
421	O2edC_c	Metabolite	2'-O-ethyl-2'-deoxycytidine	-	x	x
422	O2edCMP_c	Metabolite	2'-O-ethyl-2'-deoxycytidine monophosphate	-	x	x
423	O2edT_c	Metabolite	2'-O-ethyl-2'-deoxythymidine	-	x	x
424	O2edTMP_c	Metabolite	2'-O-ethyl-2'-deoxythymidine monophosphate	-	x	x
425	O2mdC_c	Metabolite	2'-O-methyl-2'-deoxycytidine	-	x	x
426	O2mdCMP_c	Metabolite	2'-O-methyl-2'-deoxycytidine monophosphate	-	x	x
427	O2mdT_c	Metabolite	2'-O-methyl-2'-deoxythymidine	-	x	x
428	O2mdTMP_c	Metabolite	2'-O-methyl-2'-deoxythymidine monophosphate	-	x	x
429	O4edT_c	Metabolite	4'-O-ethyl-2'-deoxythymidine	-	x	x
430	O4edTMP_c	Metabolite	4'-O-ethyl-2'-deoxythymidine monophosphate	-	x	x
431	O4mdT_c	Metabolite	4'-O-methyl-2'-deoxythymidine	-	x	x
432	O4mdTMP_c	Metabolite	4'-O-methyl-2'-deoxythymidine monophosphate	-	x	x
433	O6edG_c	Metabolite	6'-O-ethyl-2'-deoxyguanosine	-	x	x
434	O6edGMP_c	Metabolite	6'-O-ethyl-2'-deoxyguanosine monophosphate	-	x	x
435	O6mdG_c	Metabolite	6'-O-methyl-2'-deoxyguanosine	-	x	x
436	O6mdGMP_c	Metabolite	6'-O-methyl-2'-deoxyguanosine monophosphate	-	x	x
437	OA_c	Metabolite	oxaloacetate	-	x	x
438	OCDCA_c	Metabolite	octadecanoate (n-C18:0)	-	x	x
439	OCDCEA_c	Metabolite	octadecenoate (n-C18:1)	-	x	x
440	ODEC11GP_c	Metabolite	1-octadec-11-enoyl-sn-glycerol 3-phosphate	-	x	x
441	ODECG3P_c	Metabolite	1-octadecanoyl-sn-glycerol 3-phosphate	-	x	x
442	OH_c	Metabolite	hydoxide anion	-	x	x
443	ORN_c	Metabolite	ornithine	-	x	x
444	oxo2dA_c	Metabolite	2-hydroxy-2'-deoxyadenosine	-	x	x
445	oxo2dAMP_c	Metabolite	2-hydroxy-2'-deoxyadenosine monophosphate	-	x	x
446	oxo8dA_c	Metabolite	8-hydroxy-2'-deoxyadenosine	-	x	x
447	oxo8dAMP_c	Metabolite	8-hydroxy-2'-deoxyadenosine monophosphate	-	x	x
448	oxo8dG_c	Metabolite	8-Oxo-2'-deoxyguanosine; 8-hydroxy-2'-deoxyguanosine	-	x	x
449	oxo8dGMP_c	Metabolite	8-Oxo-2'-deoxyguanosine monophosphate; 8-hydroxy-2'-deoxyguanosine monophosphate	-	x	x
450	oxoethyl7dG_c	Metabolite	7-(2'-oxoethyl)-2'-deoxyguanosine	-	x	x
451	oxoethyl7dGMP_c	Metabolite	7-(2'-oxoethyl)-2'-deoxyguanosine monophosphate	-	x	x
452	PA120_c	Metabolite	1,2-didodecanoyl-sn-glycerol 3-phosphate	-	x	x
453	PA140_c	Metabolite	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	-	x	x
454	PA141_c	Metabolite	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	-	x	x
455	PA160_c	Metabolite	1,2-dihexadecanoyl-sn-glycerol 3-phosphate	-	x	x
456	PA161_c	Metabolite	1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	-	x	x
457	PA180_c	Metabolite	1,2-dioctadecanoyl-sn-glycerol 3-phosphate	-	x	x
458	PA181_c	Metabolite	1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	-	x	x
459	PAP_c	Metabolite	Adenosine 3',5'-bisphosphate	-	x	x
460	pCHOL_c	Metabolite	phosphoryl-choline	-	x	x
461	PDLA5P_c	Metabolite	Pyridoxamine 5'-phosphate	-	x	x
462	PEP_c	Metabolite	phosphoenolpyruvate	-	x	x
463	PG160_c	Metabolite	Phosphatidylglycerol (dihexadecanoyl, n-C16:0)	-	x	x
464	PG161_c	Metabolite	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)	-	x	x
465	PG181_c	Metabolite	Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)	-	x	x
466	PGP160_c	Metabolite	Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)	-	x	x
467	PGP161_c	Metabolite	Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)	-	x	x
468	PGP181_c	Metabolite	Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)	-	x	x
469	PHE_c	Metabolite	L-phenylalanine	-	x	x
470	PhePhe_c	Metabolite	L-phenylalanyl-L-phenylalanine	-	x	x
471	PHPYR_c	Metabolite	phenylpyruvate	-	x	x
472	PI_c	Metabolite	phosphate	-	x	x
473	PL5P_c	Metabolite	Pyridoxal 5'-phosphate	-	x	x
474	POE_SORBITAN_c	Metabolite	Polyoxyethylene (20) sorbitan	-	x	x
475	PPAA_c	Metabolite	Phosphonoacetaldehyde	-	x	x
476	PPGPP_c	Metabolite	Guanosine 3',5'-bis(diphosphate)	-	x	x
477	PPHG_c	Metabolite	protoporphyrinogen IX	-	x	x
478	PPI_c	Metabolite	diphosphate	-	x	x
479	PPIX_c	Metabolite	protoporphyrin IX	-	x	x
480	PRO_c	Metabolite	L-Proline	-	x	x
481	proflavine_c	Metabolite	Proflavine	-	x	x
482	ProPro_c	Metabolite	L-prolyl-L-proline	-	x	x
483	PRPP_c	Metabolite	5-Phospho-alpha-D-ribose 1-diphosphate	-	x	x
484	pSER_c	Metabolite	phosphoserine	-	x	x
485	PSIURI_c	Metabolite	pseudouridine	-	x	x
486	PSIURIMP_c	Metabolite	pseudouridine monophoshate	-	x	x
487	pTHR_c	Metabolite	phosphothreonine	-	x	x
488	PTRC_c	Metabolite	putrescine	-	x	x
489	pTYR_c	Metabolite	Phosphotyrosine	-	x	x
490	putdT_c	Metabolite	alpha-putrescinyl-2'-deoxythymidine	-	x	x
491	putdTMP_c	Metabolite	alpha-putrescinyl-2'-deoxythymidine monophosphate	-	x	x
492	PYDX_c	Metabolite	Pyridoxal	-	x	x
493	PYR_c	Metabolite	pyruvate	-	x	x
494	R1P_c	Metabolite	alpha-D-Ribose 1-phosphate	-	x	x
495	R5P_c	Metabolite	alpha-D-Ribose 5-phosphate	-	x	x
496	RBFLVRD_c	Metabolite	riboflavin, reduced	-	x	x
497	rhodamine6G_c	Metabolite	Rhodamine 6G	-	x	x
498	RIB_c	Metabolite	D-ribose	-	x	x
499	RIBFLV_c	Metabolite	riboflavin, oxidized	-	x	x
500	RL5P_c	Metabolite	D-Ribulose 5-phosphate	-	x	x
501	s2U_c	Metabolite	2-thiouridine	-	x	x
502	s2UMP_c	Metabolite	2-thiouridine monophosphate	-	x	x
503	s4U_c	Metabolite	4-thiouridine	-	x	x
504	s4UMP_c	Metabolite	4-thiouridine monophosphate	-	x	x
505	S7P_c	Metabolite	D-sedoheptulose-7-phosphate	-	x	x
506	SALA_c	Metabolite	3-Sulfino-L-alanine	-	x	x
507	SBT_c	Metabolite	D-Sorbitol	-	x	x
508	SBT6P_c	Metabolite	D-Sorbitol 6-phosphate	-	x	x
509	SER_c	Metabolite	L-Serine	-	x	x
510	SerSer_c	Metabolite	L-seryl-L-serine	-	x	x
511	SNGLYP_c	Metabolite	sn-glycerol-1-phosphate	-	x	x
512	SO2_c	Metabolite	sulfur dioxide	-	x	x
513	SO4_c	Metabolite	sulphate	-	x	x
514	SPMD_c	Metabolite	spermidine	-	x	x
515	STEROL_c	Metabolite	cholesterol	-	x	x
516	T3P1_c	Metabolite	D-glyceraldehdye-3-phosphate	-	x	x
517	T3P2_c	Metabolite	Dihydroxyacetone phosphate	-	x	x
518	TAG16P_c	Metabolite	D-Tagatose 1,6-biphosphate	-	x	x
519	TAG6P_c	Metabolite	D-Tagatose 6-phosphate	-	x	x
520	tBHP_c	Metabolite	tert-butylhydroperoxide	-	x	x
521	tBOH_c	Metabolite	tert-Butanol	-	x	x
522	TDECEG3P_c	Metabolite	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	-	x	x
523	TDECG3P_c	Metabolite	1-tetradecanoyl-sn-glycerol 3-phosphate	-	x	x
524	TDP_c	Metabolite	TDP	-	x	x
525	tetraphenylphosphonium_c	Metabolite	tetraphenylphosphonium	-	x	x
526	THF_c	Metabolite	5,6,7,8-Tetrahydrofolate	-	x	x
527	THM_c	Metabolite	thiamine	-	x	x
528	THMP_c	Metabolite	Thiamin monophosphate	-	x	x
529	THR_c	Metabolite	L-Threonine	-	x	x
530	ThrThr_c	Metabolite	L-threonyl-L-threonine	-	x	x
531	THY_c	Metabolite	thymine	-	x	x
532	TPP_c	Metabolite	thiamine diphosphate	-	x	x
533	TRIBUTYRIN_c	Metabolite	tributyrin; 1,3-Di(butanoyloxy)propan-2-yl butanoate; butyrin	-	x	x
534	TRILAURIN_c	Metabolite	trilaurin	-	x	x
535	TRIMYRISTIN_c	Metabolite	trimyristin; 1,3-Di(tetradecanoyloxy)propan-2-yl tetradecanoate; glyceryl trimyristate	-	x	x
536	TRIOLEIN_c	Metabolite	triolein	-	x	x
537	TRIPALMITIN_c	Metabolite	tripalmitin; 1,2,3-Trihexadecanoylglycerol; Glyceryl Tripalmitate; Glycerol Tripalmitate	-	x	x
538	TRISTEARIN_c	Metabolite	Tristearin	-	x	x
539	TRI_HDCEA_IN_c	Metabolite	triacylglycerol of {Hexadecenoate acid}	-	x	x
540	TRI_TTDCEA_IN_c	Metabolite	triacylglycerol of {tetradecenoic acid}	-	x	x
541	TRP_c	Metabolite	L-tryptophan	-	x	x
542	TrpTrp_c	Metabolite	L-trytophanyl-L-trytophan	-	x	x
543	TTDCA_c	Metabolite	tetradecanoate (n-C14:0)	-	x	x
544	TTDCEA_c	Metabolite	tetradecenoate (n-C14:1)	-	x	x
545	TTP_c	Metabolite	TTP	-	x	x
546	TWEEN80_c	Metabolite	Tween 80; Polyoxyethylene (20) sorbitan monooleate; polysorbate 80	-	x	x
547	TYR_c	Metabolite	L-tyrosine	-	x	x
548	TyrTyr_c	Metabolite	L-tyrosyl-L-tyrosine	-	x	x
549	U23CMP_c	Metabolite	2',3'-Cyclic UMP	-	x	x
550	U3MP_c	Metabolite	3'-UMP	-	x	x
551	UDP_c	Metabolite	UDP	-	x	x
552	UDPG_c	Metabolite	UDP-glucose	-	x	x
553	UDPGAL_c	Metabolite	UDP-galactose	-	x	x
554	UDPGALF_c	Metabolite	UDP-D-galacto-1,4-furanose	-	x	x
555	Um_c	Metabolite	2'-O-methyluridine	-	x	x
556	UmMP_c	Metabolite	2'-O-methyluridine monophosphate	-	x	x
557	UMP_c	Metabolite	UMP	-	x	x
558	URA_c	Metabolite	uracil	-	x	x
559	URI_c	Metabolite	uridine	-	x	x
560	UTP_c	Metabolite	UTP	-	x	x
561	VAL_c	Metabolite	L-Valine	-	x	x
562	ValVal_c	Metabolite	L-valyl-L-valine	-	x	x
563	vinyl_chloride_c	Metabolite	Vinylchloride	-	x	x
564	X5P_c	Metabolite	D-Xylulose 5-phosphate	-	x	x
565	XAN_c	Metabolite	xanthine	-	x	x
566	XTSN_c	Metabolite	xanthosine	-	x	x
567	ZN_c	Metabolite	zinc ion	-	x	x
568	MG_124_MONOMER_c	ProteinMonomer	thioredoxin	-	x	x
569	MG_287_MONOMER_c	ProteinMonomer	acyl carrier protein	-	x	x
570	MG_124_MONOMER_ox_c	ProteinComplex	oxidized thioredoxin	-	x	x
571	MG_229_231_TETRAMER_c	ProteinComplex	ribonucleoside-diphosphate reductase	-	x	x
572	MG_229_231_TETRAMER_ox_c	ProteinComplex	oxidized ribonucleoside-diphosphate reductase	-	x	x
573	MG_287_MONOMER_ACP_c	ProteinComplex	holo acyl carrier protein	-	x	x
574	MG_287_MONOMER_ddcaACP_c	ProteinComplex	Dodecanoyl-ACP (n-C12:0ACP)	-	x	x
575	MG_287_MONOMER_hdeACP_c	ProteinComplex	cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)	-	x	x
576	MG_287_MONOMER_myrsACP_c	ProteinComplex	Myristoyl-ACP (n-C14:0ACP)	-	x	x
577	MG_287_MONOMER_ocdcaACP_c	ProteinComplex	Octadecanoyl-ACP (n-C18:0ACP)	-	x	x
578	MG_287_MONOMER_octeACP_c	ProteinComplex	cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)	-	x	x
579	MG_287_MONOMER_palmACP_c	ProteinComplex	Palmitoyl-ACP (n-C16:0ACP)	-	x	x
580	MG_287_MONOMER_tdeACP_c	ProteinComplex	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	-	x	x
581	MG_427_DIMER_c	ProteinComplex	osmotically inducible peroxidase	-	x	x
582	MG_427_DIMER_ox_c	ProteinComplex	oxidized osmotically inducible peroxidase	-	x	x
583	MG_454_DIMER_c	ProteinComplex	thiol-dependent peroxidase	-	x	x
584	MG_454_DIMER_ox_c	ProteinComplex	oxidized thiol-dependent peroxidase	-	x	x
585	gamma_radiation_e	Stimulus	gamma radiation (1.2 MeV)	-	x	x
586	A23CMP_e	Metabolite	2',3'-Cyclic AMP	-	x	x
587	A3MP_e	Metabolite	3'-AMP	-	x	x
588	AC_e	Metabolite	acetate	-	x	x
589	ACAL_e	Metabolite	acetaldehyde	-	x	x
590	ACCOA_e	Metabolite	Acetyl-CoA	-	x	x
591	acriflavine_e	Metabolite	Acriflavine	-	x	x
592	ACTP_e	Metabolite	Acetyl phosphate	-	x	x
593	AD_e	Metabolite	adenine	-	x	x
594	ADN_e	Metabolite	adenosine	-	x	x
595	ADP_e	Metabolite	ADP	-	x	x
596	AEPP_e	Metabolite	2-aminoethylphosphonate	-	x	x
597	AHCYS_e	Metabolite	S-Adenosyl-L-homocysteine	-	x	x
598	AKG_e	Metabolite	2-Oxoglutarate	-	x	x
599	ALA_e	Metabolite	L-alanine	-	x	x
600	AlaAla_e	Metabolite	L-alanyl-L-alanine	-	x	x
601	AMET_e	Metabolite	S-Adenosyl-L-methionine	-	x	x
602	aminodimethylaniline_e	Metabolite	N,N'-dimethyl-p-phenylenediamine	-	x	x
603	AMP_e	Metabolite	AMP	-	x	x
604	AMP_Lysine_e	Metabolite	AMP-Lysine	-	x	x
605	AMP_Mor_e	Metabolite	AMP-morpholidate	-	x	x
606	AMP_NH2_e	Metabolite	AMP-NH2	-	x	x
607	anthranilate_e	Metabolite	2-aminobenzoic acid	-	x	x
608	ARG_e	Metabolite	L-Arginine	-	x	x
609	ArgArg_e	Metabolite	L-arginyl-L-arginine	-	x	x
610	ASN_e	Metabolite	L-Asparagine	-	x	x
611	AsnAsn_e	Metabolite	L-asparaginyl-L-asparagine	-	x	x
612	ASP_e	Metabolite	L-Aspartate	-	x	x
613	AspAsp_e	Metabolite	L-aspartyl-L-aspartic Acid	-	x	x
614	ATP_e	Metabolite	ATP	-	x	x
615	aza6dT_e	Metabolite	6-aza-2'-deoxythymidine	-	x	x
616	aza6dTMP_e	Metabolite	6-aza-2'-deoxythymidine monophosphate	-	x	x
617	aza8dA_e	Metabolite	8-aza-2'-deoxyadenosine	-	x	x
618	aza8dAMP_e	Metabolite	8-aza-2'-deoxyadenosine monophosphate	-	x	x
619	benzalkonium_e	Metabolite	Benzalkonium	-	x	x
620	berberine_e	Metabolite	Berberine	-	x	x
621	BUT_e	Metabolite	butyric acid, butanoic acid	-	x	x
622	C23CMP_e	Metabolite	2',3'-Cyclic CMP	-	x	x
623	C3MP_e	Metabolite	3'-CMP	-	x	x
624	c5dU_e	Metabolite	5-Carbouy-2'-deoxyuridine	-	x	x
625	c5dUMP_e	Metabolite	5-Carbouy-2'-deoxyuridine monophosphate	-	x	x
626	CA_e	Metabolite	calcium ion	-	x	x
627	CAP_e	Metabolite	carbamoyl phosphate	-	x	x
628	carbamoylmethyl6dA_e	Metabolite	N6-carbamoylmethyl-2'-deoxyadenosine	-	x	x
629	carbamoylmethyl6dAMP_e	Metabolite	N6-carbamoylmethyl-2'-deoxyadenosine monophosphate	-	x	x
630	CDP_e	Metabolite	CDP	-	x	x
631	CDPDG120_e	Metabolite	CDP-1,2-didodecanoylglycerol	-	x	x
632	CDPDG140_e	Metabolite	CDP-1,2-ditetradecanoylglycerol	-	x	x
633	CDPDG141_e	Metabolite	CDP-1,2-ditetradec-7-enoylglycerol	-	x	x
634	CDPDG160_e	Metabolite	CDP-1,2-dihexadecanoylglycerol	-	x	x
635	CDPDG161_e	Metabolite	CDP-1,2-dihexadec-9-enoylglycerol	-	x	x
636	CDPDG180_e	Metabolite	CDP-1,2-dioctadecanoylglycerol	-	x	x
637	CDPDG181_e	Metabolite	CDP-1,2-dioctadec-11-enoylglycerol	-	x	x
638	Ceramide16_e	Metabolite	Ceramide (d18:1/16:0)	-	x	x
639	CH3OH_e	Metabolite	methanol	-	x	x
640	chloroacetaldehyde_e	Metabolite	chloroacetaldehyde	-	x	x
641	chloroethylene_oxide_e	Metabolite	chloroethylene oxide	-	x	x
642	CHOL_e	Metabolite	choline	-	x	x
643	CHP_e	Metabolite	cumene hydroperoxide	-	x	x
644	ciprofloxacin_e	Metabolite	ciprofloxacin	-	x	x
645	CITR_e	Metabolite	L-citrulline	-	x	x
646	CL_e	Metabolite	chloride ion	-	x	x
647	CL160_e	Metabolite	cardiolipin (tetrahexadecanoyl, n-C16:0)	-	x	x
648	CL161_e	Metabolite	cardiolipin (tetrahexadec-9-enoyl, n-C16:1)	-	x	x
649	CL181_e	Metabolite	cardiolipin (tetraoctadec-11-enoyl, n-C18:1)	-	x	x
650	cmnm5s2U_e	Metabolite	5-carboxymethylaminomethyl-2-thiouridine	-	x	x
651	cmnm5s2UMP_e	Metabolite	5-carboxymethylaminomethyl-2-thiouridine monophosphate	-	x	x
652	CMP_e	Metabolite	CMP	-	x	x
653	CO_e	Metabolite	cobalt ion	-	x	x
654	CO2_e	Metabolite	carbon dioxide	-	x	x
655	COA_e	Metabolite	coenzyme A	-	x	x
656	crystalViolet_e	Metabolite	Crystal violet	-	x	x
657	CTP_e	Metabolite	CTP	-	x	x
658	CU_e	Metabolite	cupric ion	-	x	x
659	cyclobutane_dCdC_e	Metabolite	cyclobutane 2'-deoxycytidine dimer	-	x	x
660	cyclobutane_dCdT_e	Metabolite	cyclobutane 2'-deoxycytidine 2'-deoxythymidine 	-	x	x
661	cyclobutane_dCMPdCMP_e	Metabolite	cyclobutane 2'-deoxycytidine monophosphate dimer	-	x	x
662	cyclobutane_dCMPdTMP_e	Metabolite	cyclobutane 2'-deoxycytidine monophosphate 2'-deoxythymidine  monophosphate	-	x	x
663	cyclobutane_dTdC_e	Metabolite	cyclobutane 2'-deoxythymidine 2'-deoxycytidine	-	x	x
664	cyclobutane_dTdT_e	Metabolite	cyclobutane 2'-deoxythymidine dimer	-	x	x
665	cyclobutane_dTMPdCMP_e	Metabolite	cyclobutane 2'-deoxythymidine monophosphate 2'-deoxycytidine monophosphate	-	x	x
666	cyclobutane_dTMPdTMP_e	Metabolite	cyclobutane 2'-deoxythymidine monophosphate dimer	-	x	x
667	cyclodA_e	Metabolite	8,5'-cyclo-2'-deoxyadenosine	-	x	x
668	cyclodAMP_e	Metabolite	8,5'-cyclo-2'-deoxyadenosine monophosphate	-	x	x
669	cyclodG_e	Metabolite	8,5'-cyclo-2'-deoxyguanosine	-	x	x
670	cyclodGMP_e	Metabolite	8,5'-cyclo-2'-deoxyguanosine monophosphate	-	x	x
671	CYS_e	Metabolite	L-Cysteine	-	x	x
672	CysCys_e	Metabolite	L-cysteinyl-L-cysteine	-	x	x
673	CYTD_e	Metabolite	cytidine	-	x	x
674	c_di_AMP_e	Metabolite	Cyclic-di-adenylate	-	x	x
675	DA_e	Metabolite	deoxyadenosine	-	x	x
676	DADP_e	Metabolite	dADP	-	x	x
677	DAG160_e	Metabolite	Diacylglycerol (n-16:0)	-	x	x
678	DAG161_e	Metabolite	Diacylglycerol (n-16:1)	-	x	x
679	DAG181_e	Metabolite	Diacylglycerol (n-18:1)	-	x	x
680	DALA_e	Metabolite	D-alanine	-	x	x
681	DAMP_e	Metabolite	dAMP	-	x	x
682	dApdAp_e	Metabolite	dAp-dAp	-	x	x
683	DATP_e	Metabolite	dATP	-	x	x
684	DC_e	Metabolite	deoxycytidine	-	x	x
685	dC64dC_e	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxycytidine	-	x	x
686	dC64dC_dewar_e	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxycytidine dewar product	-	x	x
687	dC64dT_e	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxythymidine	-	x	x
688	dC64dT_dewar_e	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxythymidine dewar product	-	x	x
